00-default			0.070			0.069			0.002			0.067			0.072
01-pathname-subshells			0.064			0.064			0.000			0.063			0.066
02-vars-subshells			0.061			0.060			0.001			0.060			0.062
03-reduce-commands			0.061			0.060			0.001			0.060			0.064
