00-default			0.041			0.040			0.001			0.040			0.047
01-pathname-subshells			0.035			0.035			0.001			0.034			0.037
02-vars-subshells			0.025			0.025			0.001			0.024			0.034
03-reduce-commands			0.025			0.025			0.001			0.024			0.031
