00-default			0.060			0.060			0.001			0.059			0.063
01-pathname-subshells			0.054			0.054			0.001			0.053			0.056
02-vars-subshells			0.044			0.043			0.001			0.042			0.055
03-reduce-commands			0.045			0.045			0.001			0.042			0.048
